"district","city","province","postal_code"
"CIMANGGU","CILACAP","JAWA TENGAH","53256"
"BANTARSARI","CILACAP","JAWA TENGAH","53281"
"PURWOKERTO BARAT","BANYUMAS","JAWA TENGAH","53133"
"MADUKARA","BANJARNEGARA","JAWA TENGAH","53482"
"KEMBARAN","BANYUMAS","JAWA TENGAH","53182"
"TERSONO","BATANG","JAWA TENGAH","51272"
"WANGON","BANYUMAS","JAWA TENGAH","53176"
"CANDIROTO","TEMANGGUNG","JAWA TENGAH","56257"
"BATEALIT","JEPARA","JAWA TENGAH","59461"
"TIRTOMOYO","WONOGIRI","JAWA TENGAH","57672"
"SRUMBUNG","MAGELANG","JAWA TENGAH","56483"
"KARANGNONGKO","KLATEN","JAWA TENGAH","57483"
"AMPEL","BOYOLALI","JAWA TENGAH","57352"
"BANJARSARI","SURAKARTA (SOLO)","JAWA TENGAH","57137"
"LOANO","PURWOREJO","JAWA TENGAH","54181"
"BANYUBIRU","SEMARANG","JAWA TENGAH","50664"
"DUKUN","MAGELANG","JAWA TENGAH","56482"
"WATUMALANG","WONOSOBO","JAWA TENGAH","56352"
"BANDUNGAN","SEMARANG","JAWA TENGAH","50663"
"BANYUMANIK","SEMARANG","JAWA TENGAH","50264"
"MOGA","PEMALANG","JAWA TENGAH","52354"
"SAPURAN","WONOSOBO","JAWA TENGAH","56373"
"BANYUPUTIH","BATANG","JAWA TENGAH","51271"
"SINGOROJO","KENDAL","JAWA TENGAH","51382"
"PEKALONGAN SELATAN","PEKALONGAN","JAWA TENGAH","51139"
"BAYAT","KLATEN","JAWA TENGAH","57462"
"SAWANGAN","MAGELANG","JAWA TENGAH","56481"
"TEGALREJO","MAGELANG","JAWA TENGAH","56192"
"PAKIS","MAGELANG","JAWA TENGAH","56193"
"KENDAL","KENDAL","JAWA TENGAH","51319"
"GUNEM","REMBANG","JAWA TENGAH","59263"
"JENAR","SRAGEN","JAWA TENGAH","57256"
"NGAMPEL","KENDAL","JAWA TENGAH","51357"
"PANCUR","REMBANG","JAWA TENGAH","59262"
"TEMANGGUNG","TEMANGGUNG","JAWA TENGAH","56211"
"JEPARA","JEPARA","JAWA TENGAH","59413"
"AMBARAWA","SEMARANG","JAWA TENGAH","50614"
"NGUTER","SUKOHARJO","JAWA TENGAH","57571"
"JUMO","TEMANGGUNG","JAWA TENGAH","56256"
"KLATEN UTARA","KLATEN","JAWA TENGAH","57438"
"KLATEN TENGAH","KLATEN","JAWA TENGAH","57414"
"KUDUS KOTA","KUDUS","JAWA TENGAH","59312"
"KETANGGUNGAN","BREBES","JAWA TENGAH","52263"
"PEKALONGAN TIMUR","PEKALONGAN","JAWA TENGAH","51129"
"MANISRENGGO","KLATEN","JAWA TENGAH","57485"
"TENGARAN","SEMARANG","JAWA TENGAH","50775"
"SEMARANG SELATAN","SEMARANG","JAWA TENGAH","50245"
"KEDUNG BANTENG","BANYUMAS","JAWA TENGAH","53152"
"KEBONARUM","KLATEN","JAWA TENGAH","57486"
"NALUMSARI","JEPARA","JAWA TENGAH","59466"
"CANDIMULYO","MAGELANG","JAWA TENGAH","56191"
"KARANG TENGAH","DEMAK","JAWA TENGAH","59561"
"CILONGOK","BANYUMAS","JAWA TENGAH","53162"
"BUMIJAWA","TEGAL","JAWA TENGAH","52466"
"BOJONG","TEGAL","JAWA TENGAH","52465"
"GETASAN","SEMARANG","JAWA TENGAH","50774"
"GUBUG","GROBOGAN","JAWA TENGAH","58164"
"COLOMADU","KARANGANYAR","JAWA TENGAH","57171"
"GANTIWARNO","KLATEN","JAWA TENGAH","57455"
"SALAM","MAGELANG","JAWA TENGAH","56484"
"BATANGAN","PATI","JAWA TENGAH","59186"
"KLEDUNG","TEMANGGUNG","JAWA TENGAH","56264"
"PULOSARI","PEMALANG","JAWA TENGAH","52355"
"SIRAMPOG","BREBES","JAWA TENGAH","52272"
"BATUWARNO","WONOGIRI","JAWA TENGAH","57674"
"BAWANG","BATANG","JAWA TENGAH","51274"
"BLADO","BATANG","JAWA TENGAH","51255"
"TEMPURAN","MAGELANG","JAWA TENGAH","56161"
"KEMUSU","BOYOLALI","JAWA TENGAH","57383"
"KUTOARJO","PURWOREJO","JAWA TENGAH","54215"
"GIRITONTRO","WONOGIRI","JAWA TENGAH","57678"
"PENGADEGAN","PURBALINGGA","JAWA TENGAH","53393"
"PANINGGARAN","PEKALONGAN","JAWA TENGAH","51164"
"TODANAN","BLORA","JAWA TENGAH","58256"
"KEMIRI","PURWOREJO","JAWA TENGAH","54262"
"JAMBU","SEMARANG","JAWA TENGAH","50663"
"JAPAH","BLORA","JAWA TENGAH","58257"
"PABELAN","SEMARANG","JAWA TENGAH","50771"
"KARANGANYAR","KARANGANYAR","JAWA TENGAH","57716"
"SURUH","SEMARANG","JAWA TENGAH","50776"
"NGUNTORONADI","WONOGIRI","JAWA TENGAH","57671"
"PANDANARUM","BANJARNEGARA","JAWA TENGAH","53458"
"PEDAN","KLATEN","JAWA TENGAH","57468"
"PEJAWARAN","BANJARNEGARA","JAWA TENGAH","53454"
"TULIS","BATANG","JAWA TENGAH","51261"
"TULUNG","KLATEN","JAWA TENGAH","57482"
"UNGARAN TIMUR","SEMARANG","JAWA TENGAH","50519"
"SEMPOR","KEBUMEN","JAWA TENGAH","54421"
"KAYEN","PATI","JAWA TENGAH","59171"
"MOJOLABAN","SUKOHARJO","JAWA TENGAH","57554"
"KARANGANOM","KLATEN","JAWA TENGAH","57475"
"RANDUBLATUNG","BLORA","JAWA TENGAH","58382"
"GAJAH MUNGKUR","SEMARANG","JAWA TENGAH","50235"
"GAJAH MUNGKUR","SEMARANG","JAWA TENGAH","50233"
"PEKALONGAN BARAT","PEKALONGAN","JAWA TENGAH","51119"
"NOGOSARI","BOYOLALI","JAWA TENGAH","57378"
"SLUKE","REMBANG","JAWA TENGAH","59272"
"KLIRONG","KEBUMEN","JAWA TENGAH","54381"
"TAYU","PATI","JAWA TENGAH","59155"
"BENDOSARI","SUKOHARJO","JAWA TENGAH","57528"
"GEBANG","PURWOREJO","JAWA TENGAH","54191"
"PLANTUNGAN","KENDAL","JAWA TENGAH","51362"
"SAWIT","BOYOLALI","JAWA TENGAH","57374"
"GAJAH MUNGKUR","SEMARANG","JAWA TENGAH","50231"
"KALIWIRO","WONOSOBO","JAWA TENGAH","56364"
"KEDAWUNG","SRAGEN","JAWA TENGAH","57292"
"SIMO","BOYOLALI","JAWA TENGAH","57377"
"TRETEP","TEMANGGUNG","JAWA TENGAH","56259"
"BENER","PURWOREJO","JAWA TENGAH","54183"
"KEPIL","WONOSOBO","JAWA TENGAH","56374"
"MAJENANG","CILACAP","JAWA TENGAH","53257"
"WIRADESA","PEKALONGAN","JAWA TENGAH","51152"
"WONOSARI","KLATEN","JAWA TENGAH","57473"
"TALANG","TEGAL","JAWA TENGAH","52193"
"SIDOHARJO","SRAGEN","JAWA TENGAH","57281"
"BLORA KOTA","BLORA","JAWA TENGAH","58216"
"BERGAS","SEMARANG","JAWA TENGAH","50552"
"NGARGOYOSO","KARANGANYAR","JAWA TENGAH","57793"
"PURWOKERTO SELATAN","BANYUMAS","JAWA TENGAH","53146"
"MANYARAN","WONOGIRI","JAWA TENGAH","57662"
"TRUCUK","KLATEN","JAWA TENGAH","57467"
"SUSUKAN","BANJARNEGARA","JAWA TENGAH","53475"
"UNDAAN","KUDUS","JAWA TENGAH","59372"
"JATIYOSO","KARANGANYAR","JAWA TENGAH","57785"
"LEKSONO","WONOSOBO","JAWA TENGAH","56362"
"GEBOG","KUDUS","JAWA TENGAH","59333"
"BAYAN","PURWOREJO","JAWA TENGAH","54223"
"LUMBIR","BANYUMAS","JAWA TENGAH","53177"
"WADASLINTANG","WONOSOBO","JAWA TENGAH","56365"
"BONANG","DEMAK","JAWA TENGAH","59552"
"DEMAK","DEMAK","JAWA TENGAH","59512"
"BOROBUDUR","MAGELANG","JAWA TENGAH","56553"
"BANYUMAS","BANYUMAS","JAWA TENGAH","53192"
"KARANGGAYAM","KEBUMEN","JAWA TENGAH","54365"
"MREBET","PURBALINGGA","JAWA TENGAH","53352"
"DAYEUHLUHUR","CILACAP","JAWA TENGAH","53266"
"DEMAK","DEMAK","JAWA TENGAH","59511"
"WEDI","KLATEN","JAWA TENGAH","57461"
"SAMBONG","BLORA","JAWA TENGAH","58371"
"SIWALAN","PEKALONGAN","JAWA TENGAH","51137"
"GESI","SRAGEN","JAWA TENGAH","57262"
"PATI","PATI","JAWA TENGAH","59114"
"PONCOWARNO","KEBUMEN","JAWA TENGAH","54393"
"CLUWAK","PATI","JAWA TENGAH","59157"
"PITURUH","PURWOREJO","JAWA TENGAH","54263"
"BUARAN","PEKALONGAN","JAWA TENGAH","51171"
"NGLUWAR","MAGELANG","JAWA TENGAH","56485"
"DORO","PEKALONGAN","JAWA TENGAH","51191"
"BRUNO","PURWOREJO","JAWA TENGAH","54261"
"GATAK","SUKOHARJO","JAWA TENGAH","57557"
"SAMBIREJO","SRAGEN","JAWA TENGAH","57293"
"WINONG","PATI","JAWA TENGAH","59181"
"BRANGSONG","KENDAL","JAWA TENGAH","51371"
"JUMANTONO","KARANGANYAR","JAWA TENGAH","57782"
"SIDOREJO","SALATIGA","JAWA TENGAH","50715"
"DUKUHWARU","TEGAL","JAWA TENGAH","52451"
"COLOMADU","KARANGANYAR","JAWA TENGAH","57174"
"PURWOKERTO UTARA","BANYUMAS","JAWA TENGAH","53127"
"KANDANGSERANG","PEKALONGAN","JAWA TENGAH","51163"
"WATUKUMPUL","PEMALANG","JAWA TENGAH","52357"
"PUCAKWANGI","PATI","JAWA TENGAH","59183"
"SULANG","REMBANG","JAWA TENGAH","59254"
"BOGOREJO","BLORA","JAWA TENGAH","58262"
"SEDAN","REMBANG","JAWA TENGAH","59264"
"SUMBER","REMBANG","JAWA TENGAH","59253"
"PADAMARA","PURBALINGGA","JAWA TENGAH","53372"
"JATIBARANG","BREBES","JAWA TENGAH","52261"
"PURBALINGGA","PURBALINGGA","JAWA TENGAH","53319"
"PEMALANG","PEMALANG","JAWA TENGAH","52318"
"SEMARANG BARAT","SEMARANG","JAWA TENGAH","50141"
"SURODADI","TEGAL","JAWA TENGAH","52182"
"ALIAN / ALIYAN","KEBUMEN","JAWA TENGAH","54352"
"PENAWANGAN","GROBOGAN","JAWA TENGAH","58161"
"COLOMADU","KARANGANYAR","JAWA TENGAH","57178"
"JUWIRING","KLATEN","JAWA TENGAH","57472"
"WONOSOBO","WONOSOBO","JAWA TENGAH","56318"
"TANON","SRAGEN","JAWA TENGAH","57277"
"SEMARANG BARAT","SEMARANG","JAWA TENGAH","50148"
"POLANHARJO","KLATEN","JAWA TENGAH","57474"
"JATIROTO","WONOGIRI","JAWA TENGAH","57692"
"KERJO","KARANGANYAR","JAWA TENGAH","57753"
"CEPIRING","KENDAL","JAWA TENGAH","51352"
"WONOSALAM","DEMAK","JAWA TENGAH","59571"
"KALIKAJAR","WONOSOBO","JAWA TENGAH","56372"
"TANGGUNGHARJO","GROBOGAN","JAWA TENGAH","58166"
"MOJOSONGO","BOYOLALI","JAWA TENGAH","57322"
"PRAMBANAN","KLATEN","JAWA TENGAH","57454"
"KARANGAWEN","DEMAK","JAWA TENGAH","59566"
"GEMOLONG","SRAGEN","JAWA TENGAH","57274"
"SAMPANG","CILACAP","JAWA TENGAH","53273"
"UNGARAN BARAT","SEMARANG","JAWA TENGAH","50519"
"WELAHAN","JEPARA","JAWA TENGAH","59464"
"WONOTUNGGAL","BATANG","JAWA TENGAH","51253"
"JERUKLEGI","CILACAP","JAWA TENGAH","53252"
"BREBES","BREBES","JAWA TENGAH","52212"
"TARUB","TEGAL","JAWA TENGAH","52184"
"PURWOREJO","PURWOREJO","JAWA TENGAH","54119"
"KAJEN","PEKALONGAN","JAWA TENGAH","51161"
"NGALIYAN","SEMARANG","JAWA TENGAH","50189"
"SUKOREJO","KENDAL","JAWA TENGAH","51363"
"KESESI","PEKALONGAN","JAWA TENGAH","51162"
"JATEN","KARANGANYAR","JAWA TENGAH","57731"
"SEMARANG TENGAH","SEMARANG","JAWA TENGAH","50135"
"PEKALONGAN SELATAN","PEKALONGAN","JAWA TENGAH","51171"
"GIRIMARTO","WONOGIRI","JAWA TENGAH","57683"
"MIJEN","SEMARANG","JAWA TENGAH","50216"
"SEMARANG TIMUR","SEMARANG","JAWA TENGAH","50126"
"KENDAL","KENDAL","JAWA TENGAH","51314"
"KEDUNG","JEPARA","JAWA TENGAH","59463"
"SIDOREJO","SALATIGA","JAWA TENGAH","50713"
"KISMANTORO","WONOGIRI","JAWA TENGAH","57696"
"SRAGI","PEKALONGAN","JAWA TENGAH","51155"
"ROWOSARI","KENDAL","JAWA TENGAH","51354"
"SEMARANG UTARA","SEMARANG","JAWA TENGAH","50179"
"BULU","REMBANG","JAWA TENGAH","59255"
"BULU","SUKOHARJO","JAWA TENGAH","57563"
"JEPARA","JEPARA","JAWA TENGAH","59418"
"PETARUKAN","PEMALANG","JAWA TENGAH","52362"
"BULUKERTO","WONOGIRI","JAWA TENGAH","57697"
"MARGOYOSO","PATI","JAWA TENGAH","59154"
"JEKULO","KUDUS","JAWA TENGAH","59382"
"PAKIS AJI","JEPARA","JAWA TENGAH","59452"
"KESUGIHAN","CILACAP","JAWA TENGAH","53274"
"PATIMUAN","CILACAP","JAWA TENGAH","53264"
"GIRIWOYO","WONOGIRI","JAWA TENGAH","57675"
"GONDANGREJO","KARANGANYAR","JAWA TENGAH","57188"
"TEMBALANG","SEMARANG","JAWA TENGAH","50277"
"GANDRUNGMANGU","CILACAP","JAWA TENGAH","53254"
"SLOGOHIMO","WONOGIRI","JAWA TENGAH","57694"
"SEMARANG SELATAN","SEMARANG","JAWA TENGAH","50246"
"WONOGIRI","WONOGIRI","JAWA TENGAH","57615"
"SUMOWONO","SEMARANG","JAWA TENGAH","50662"
"LAWEYAN","SURAKARTA (SOLO)","JAWA TENGAH","57149"
"ROWOKELE","KEBUMEN","JAWA TENGAH","54472"
"GONDANG","SRAGEN","JAWA TENGAH","57254"
"WELERI","KENDAL","JAWA TENGAH","51355"
"KELING","JEPARA","JAWA TENGAH","59454"
"KEBUMEN","KEBUMEN","JAWA TENGAH","54316"
"PEKALONGAN BARAT","PEKALONGAN","JAWA TENGAH","51117"
"WONOSOBO","WONOSOBO","JAWA TENGAH","56317"
"JAKENAN","PATI","JAWA TENGAH","59182"
"TAMBAK","BANYUMAS","JAWA TENGAH","53196"
"KLATEN TENGAH","KLATEN","JAWA TENGAH","57419"
"MOJOGEDANG","KARANGANYAR","JAWA TENGAH","57752"
"KEJAJAR","WONOSOBO","JAWA TENGAH","56354"
"TASIKMADU","KARANGANYAR","JAWA TENGAH","57722"
"KUDUS KOTA","KUDUS","JAWA TENGAH","59311"
"TEMANGGUNG","TEMANGGUNG","JAWA TENGAH","56214"
"TLOGOWUNGU","PATI","JAWA TENGAH","59161"
"MARGADANA","TEGAL","JAWA TENGAH","52147"
"CEPU","BLORA","JAWA TENGAH","58315"
"MAGELANG TENGAH","MAGELANG","JAWA TENGAH","56121"
"KEJAJAR","WONOSOBO","JAWA TENGAH","56314"
"NGAWEN","KLATEN","JAWA TENGAH","57466"
"CANDISARI","SEMARANG","JAWA TENGAH","50257"
"KARANGANYAR","KEBUMEN","JAWA TENGAH","54364"
"KUTASARI","PURBALINGGA","JAWA TENGAH","53361"
"PRINGAPUS","SEMARANG","JAWA TENGAH","50214"
"TUNTANG","SEMARANG","JAWA TENGAH","50773"
"UNGARAN BARAT","SEMARANG","JAWA TENGAH","50513"
"SECANG","MAGELANG","JAWA TENGAH","56195"
"KENDAL","KENDAL","JAWA TENGAH","51317"
"PURWODADI","GROBOGAN","JAWA TENGAH","58114"
"KARANGANYAR","KARANGANYAR","JAWA TENGAH","57712"
"PLUPUH","SRAGEN","JAWA TENGAH","57283"
"PURWOREJO","PURWOREJO","JAWA TENGAH","54117"
"SADANG","KEBUMEN","JAWA TENGAH","54353"
"TEGOWANU","GROBOGAN","JAWA TENGAH","58165"
"RINGINARUM","KENDAL","JAWA TENGAH","51356"
"CIPARI","CILACAP","JAWA TENGAH","53262"
"ARGOMULYO","SALATIGA","JAWA TENGAH","50736"
"KARANGRAYUNG","GROBOGAN","JAWA TENGAH","58163"
"WONOBOYO","TEMANGGUNG","JAWA TENGAH","56266"
"SONGGOM","BREBES","JAWA TENGAH","52266"
"DAWE","KUDUS","JAWA TENGAH","59353"
"CEPER","KLATEN","JAWA TENGAH","57465"
"GUNUNGPATI","SEMARANG","JAWA TENGAH","50223"
"SUMBERLAWANG","SRAGEN","JAWA TENGAH","57272"
"BATANG","BATANG","JAWA TENGAH","51216"
"GEMUH","KENDAL","JAWA TENGAH","51356"
"CEPU","BLORA","JAWA TENGAH","58312"
"JUWANGI","BOYOLALI","JAWA TENGAH","57391"
"KERSANA","BREBES","JAWA TENGAH","52264"
"WARUNGPRING","PEMALANG","JAWA TENGAH","52354"
"WANAREJA","CILACAP","JAWA TENGAH","53222"
"GUMELAR","BANYUMAS","JAWA TENGAH","53165"
"CILACAP SELATAN","CILACAP","JAWA TENGAH","53211"
"PAGUYANGAN","BREBES","JAWA TENGAH","52276"
"MUSUK","BOYOLALI","JAWA TENGAH","57331"
"SUKOHARJO","SUKOHARJO","JAWA TENGAH","57519"
"SRUWENG","KEBUMEN","JAWA TENGAH","54362"
"TIRTO","PEKALONGAN","JAWA TENGAH","51151"
"PETUNGKRIONO / PETUNGKRIYONO","PEKALONGAN","JAWA TENGAH","51193"
"PATEAN","KENDAL","JAWA TENGAH","51364"
"SEMARANG UTARA","SEMARANG","JAWA TENGAH","50173"
"TAWANGSARI","SUKOHARJO","JAWA TENGAH","57561"
"KUDUS KOTA","KUDUS","JAWA TENGAH","59316"
"MARGASARI","TEGAL","JAWA TENGAH","52463"
"PURWONEGORO","BANJARNEGARA","JAWA TENGAH","53472"
"KARANGJAMBU","PURBALINGGA","JAWA TENGAH","53357"
"PEMALANG","PEMALANG","JAWA TENGAH","52314"
"KLATEN SELATAN","KLATEN","JAWA TENGAH","57425"
"SERENGAN","SURAKARTA (SOLO)","JAWA TENGAH","57156"
"PURWODADI","GROBOGAN","JAWA TENGAH","58113"
"WIROSARI","GROBOGAN","JAWA TENGAH","58192"
"MATESIH","KARANGANYAR","JAWA TENGAH","57781"
"MASARAN","SRAGEN","JAWA TENGAH","57282"
"PEGANDON","KENDAL","JAWA TENGAH","51357"
"TEGAL SELATAN","TEGAL","JAWA TENGAH","52138"
"TEGAL SELATAN","TEGAL","JAWA TENGAH","52133"
"TEGAL BARAT","TEGAL","JAWA TENGAH","52115"
"TEGAL SELATAN","TEGAL","JAWA TENGAH","52132"
"PEKALONGAN UTARA","PEKALONGAN","JAWA TENGAH","51148"
"PEKALONGAN TIMUR","PEKALONGAN","JAWA TENGAH","51123"
"JEPARA","JEPARA","JAWA TENGAH","59419"
"KUDUS KOTA","KUDUS","JAWA TENGAH","59313"
"KUDUS KOTA","KUDUS","JAWA TENGAH","59317"
"TAHUNAN","JEPARA","JAWA TENGAH","59422"
"KALIBAWANG","WONOSOBO","JAWA TENGAH","56373"
"TANGEN","SRAGEN","JAWA TENGAH","57261"
"PATI","PATI","JAWA TENGAH","59119"
"KEDUNGJATI","GROBOGAN","JAWA TENGAH","58167"
"BAE","KUDUS","JAWA TENGAH","59321"
"KALIWUNGU SELATAN","KENDAL","JAWA TENGAH","51372"
"NGEMPLAK","BOYOLALI","JAWA TENGAH","57375"
"CILACAP TENGAH","CILACAP","JAWA TENGAH","53222"
"KALIGESING","PURWOREJO","JAWA TENGAH","54175"
"PURWOREJO","PURWOREJO","JAWA TENGAH","54114"
"SLAWI","TEGAL","JAWA TENGAH","52419"
"SLAWI","TEGAL","JAWA TENGAH","52418"
"NGARGOYOSO","KARANGANYAR","JAWA TENGAH","57731"
"PEKALONGAN UTARA","PEKALONGAN","JAWA TENGAH","51146"
"SIDOMUKTI","SALATIGA","JAWA TENGAH","50722"
"SUKOHARJO","SUKOHARJO","JAWA TENGAH","57524"
"KEDUNG BANTENG","TEGAL","JAWA TENGAH","52472"
"WANASARI","BREBES","JAWA TENGAH","52252"
"PAGEDONGAN","BANJARNEGARA","JAWA TENGAH","53418"
"PEKALONGAN SELATAN","PEKALONGAN","JAWA TENGAH","51138"
"GAJAH MUNGKUR","SEMARANG","JAWA TENGAH","50232"
"COLOMADU","KARANGANYAR","JAWA TENGAH","57176"
"PASAR KLIWON","SURAKARTA (SOLO)","JAWA TENGAH","57155"
"PATI","PATI","JAWA TENGAH","59116"
"WONOPRINGGO","PEKALONGAN","JAWA TENGAH","51181"
"TONJONG","BREBES","JAWA TENGAH","52271"
"BREBES","BREBES","JAWA TENGAH","52215"
"JEBRES","SURAKARTA (SOLO)","JAWA TENGAH","57122"
"KALORAN","TEMANGGUNG","JAWA TENGAH","56282"
"GARUNG","WONOSOBO","JAWA TENGAH","56353"
"SUKOHARJO","WONOSOBO","JAWA TENGAH","56362"
"COLOMADU","KARANGANYAR","JAWA TENGAH","57175"
"SUKOHARJO","SUKOHARJO","JAWA TENGAH","57514"
"KLATEN SELATAN","KLATEN","JAWA TENGAH","57423"
"GAYAMSARI","SEMARANG","JAWA TENGAH","50248"
"KANGKUNG","KENDAL","JAWA TENGAH","51353"
"REMBANG","REMBANG","JAWA TENGAH","59219"
"BANYUMANIK","SEMARANG","JAWA TENGAH","50266"
"NGADIROJO","WONOGIRI","JAWA TENGAH","57681"
"COLOMADU","KARANGANYAR","JAWA TENGAH","57173"
"REMBANG","REMBANG","JAWA TENGAH","59213"
"MAGELANG TENGAH","MAGELANG","JAWA TENGAH","56112"
"PEDURUNGAN","SEMARANG","JAWA TENGAH","50246"
"MONDOKAN","SRAGEN","JAWA TENGAH","57271"
"SELOGIRI","WONOGIRI","JAWA TENGAH","57652"
"KALIKOTES","KLATEN","JAWA TENGAH","57451"
"PECANGAAN","JEPARA","JAWA TENGAH","59462"
"PARANGGUPITO","WONOGIRI","JAWA TENGAH","57678"
"TINGKIR","SALATIGA","JAWA TENGAH","50743"
"JAMBU","SEMARANG","JAWA TENGAH","50271"
"UNGARAN BARAT","SEMARANG","JAWA TENGAH","50512"
"WURYANTORO","WONOGIRI","JAWA TENGAH","57661"
"GENUK","SEMARANG","JAWA TENGAH","50231"
"PURWOJATI","BANYUMAS","JAWA TENGAH","53175"
"KLATEN UTARA","KLATEN","JAWA TENGAH","57434"
"JATI","KUDUS","JAWA TENGAH","59343"
"KRADENAN","BLORA","JAWA TENGAH","58383"
"GROBOGAN","GROBOGAN","JAWA TENGAH","58152"
"BANJARSARI","SURAKARTA (SOLO)","JAWA TENGAH","57134"
"TEMANGGUNG","TEMANGGUNG","JAWA TENGAH","56229"
"PUHPELEM","WONOGIRI","JAWA TENGAH","57698"
"WONOGIRI","WONOGIRI","JAWA TENGAH","57612"
"WONOGIRI","WONOGIRI","JAWA TENGAH","57611"
"WONOGIRI","WONOGIRI","JAWA TENGAH","57613"
"SEMARANG BARAT","SEMARANG","JAWA TENGAH","50149"
"TEMANGGUNG","TEMANGGUNG","JAWA TENGAH","56226"
"MAOS","CILACAP","JAWA TENGAH","53272"
"KLATEN SELATAN","KLATEN","JAWA TENGAH","57426"
"TAWANGHARJO","GROBOGAN","JAWA TENGAH","58191"
"UNGARAN BARAT","SEMARANG","JAWA TENGAH","50551"
"MEJOBO","KUDUS","JAWA TENGAH","59381"
"GOMBONG","KEBUMEN","JAWA TENGAH","54411"
"KARANGREJA","PURBALINGGA","JAWA TENGAH","53357"
"LIMBANGAN","KENDAL","JAWA TENGAH","51383"
"JATISRONO","WONOGIRI","JAWA TENGAH","57691"
"BERGAS","SEMARANG","JAWA TENGAH","50187"
"NGALIYAN","SEMARANG","JAWA TENGAH","50187"
"KARTASURA","SUKOHARJO","JAWA TENGAH","57169"
"PRINGSURAT","TEMANGGUNG","JAWA TENGAH","56272"
"PURWOKERTO UTARA","BANYUMAS","JAWA TENGAH","53122"
"GRINGSING","BATANG","JAWA TENGAH","51281"
"CILACAP UTARA","CILACAP","JAWA TENGAH","53231"
"WANADADI (WONODADI)","BANJARNEGARA","JAWA TENGAH","53461"
"KLATEN TENGAH","KLATEN","JAWA TENGAH","57417"
"GUNUNGPATI","SEMARANG","JAWA TENGAH","50229"
"SIDAREJA","CILACAP","JAWA TENGAH","53261"
"CILACAP TENGAH","CILACAP","JAWA TENGAH","53224"
"KARANGMALANG","SRAGEN","JAWA TENGAH","57222"
"KARANGPANDAN","KARANGANYAR","JAWA TENGAH","57715"
"JEBRES","SURAKARTA (SOLO)","JAWA TENGAH","57162"
"SEMARANG TENGAH","SEMARANG","JAWA TENGAH","50613"
"LAWEYAN","SURAKARTA (SOLO)","JAWA TENGAH","57144"
"PULOKULON","GROBOGAN","JAWA TENGAH","58181"
"MLONGGO","JEPARA","JAWA TENGAH","59452"
"TEMANGGUNG","TEMANGGUNG","JAWA TENGAH","56215"
"TEMANGGUNG","TEMANGGUNG","JAWA TENGAH","56216"
"BRATI","GROBOGAN","JAWA TENGAH","58153"
"TEMBALANG","SEMARANG","JAWA TENGAH","50274"
"WONOSOBO","WONOSOBO","JAWA TENGAH","56314"
"JATI","KUDUS","JAWA TENGAH","59347"
"JATI","KUDUS","JAWA TENGAH","59346"
"MIJEN","SEMARANG","JAWA TENGAH","50219"
"JATIPURO","KARANGANYAR","JAWA TENGAH","57784"
"CANDISARI","SEMARANG","JAWA TENGAH","50254"
"SIDOHARJO","WONOGIRI","JAWA TENGAH","57682"
"MIJEN","SEMARANG","JAWA TENGAH","50275"
"PAGERBARANG","TEGAL","JAWA TENGAH","52462"
"SERENGAN","SURAKARTA (SOLO)","JAWA TENGAH","57152"
"KARANGTENGAH","WONOGIRI","JAWA TENGAH","57677"
"JEBRES","SURAKARTA (SOLO)","JAWA TENGAH","57126"
"KLATEN UTARA","KLATEN","JAWA TENGAH","57433"
"KLAMBU","GROBOGAN","JAWA TENGAH","58154"
"PEKALONGAN SELATAN","PEKALONGAN","JAWA TENGAH","51133"
"JATI","KUDUS","JAWA TENGAH","59349"
"TUGU","SEMARANG","JAWA TENGAH","50151"
"SELO","BOYOLALI","JAWA TENGAH","57363"
"KALIWUNGU SELATAN","KENDAL","JAWA TENGAH","51382"
"BLORA KOTA","BLORA","JAWA TENGAH","58214"
"KALIWUNGU","SEMARANG","JAWA TENGAH","50229"
"KENDAL","KENDAL","JAWA TENGAH","51315"
"KLATEN SELATAN","KLATEN","JAWA TENGAH","57421"
"SUKOHARJO","SUKOHARJO","JAWA TENGAH","57511"
"BANDUNGAN","SEMARANG","JAWA TENGAH","50661"
"WONOSOBO","WONOSOBO","JAWA TENGAH","56319"
"JEPARA","JEPARA","JAWA TENGAH","59416"
"WONOSOBO","WONOSOBO","JAWA TENGAH","56315"
"SUKOHARJO","SUKOHARJO","JAWA TENGAH","57513"
"CANDISARI","SEMARANG","JAWA TENGAH","50256"
"BENDOSARI","SUKOHARJO","JAWA TENGAH","57521"
"KLATEN TENGAH","KLATEN","JAWA TENGAH","57418"
"KLATEN UTARA","KLATEN","JAWA TENGAH","57435"
"KENDAL","KENDAL","JAWA TENGAH","51316"
"PASAR KLIWON","SURAKARTA (SOLO)","JAWA TENGAH","57116"
"SERENGAN","SURAKARTA (SOLO)","JAWA TENGAH","57157"
"KARANGDADAP","PEKALONGAN","JAWA TENGAH","51174"
"KARANGANYAR","KARANGANYAR","JAWA TENGAH","57713"
"TEMANGGUNG","TEMANGGUNG","JAWA TENGAH","56222"
"MAGELANG SELATAN","MAGELANG","JAWA TENGAH","56123"
"REMBANG","REMBANG","JAWA TENGAH","59218"
"KLATEN TENGAH","KLATEN","JAWA TENGAH","57413"
"BANJARSARI","SURAKARTA (SOLO)","JAWA TENGAH","57136"
